topic_id;post_number;messages
2;3;aboot fookin time ye wanka
2;86; I hope 0aba20f58e4a5c32 gets banned so she stops trolling/streaming. 
2;105; Quote: 59d9c14e8d42af91: Oh, and every team sport, the players would constantly talk in All Caps, because they're yelling at each other the entire time. Spoken like a fat kid that never even made the team. 
2;134; Quote: 8f2426df840df8f1: You need to stop using the word homophobia. Nobody's scared of anybody. The alleged-offensive terms do not indicate fear. I'm tired of this stupid term. I can dislike gay people and homosexual behavior (and I do) by simple moral conviction if I want. Hell, it might just be my choice because I get mad and want to dislike something. That doesn't mean I'm afraid of it. Saying that you're homophobic is a nice way of saying that you're a bigot, just fyi. Would you rather be called a homophobe or a bigot? Why have an irrational dislike of a certain group of people that has absolutely no effect on you in any way possible? 
2;187; Quote: d9cfb72ac06b5563: What are you scared of? You are either high enough lvl to never have to deal with him, or you are low enough that you don't have the right to cry about it. Either way, just piss off. #retardlogic 
2;294; Please ban this mofo please. e7884a7aae937a61 He played tf and went 1 27 bought all boots in a ranked game. Please ban him and give me a lost prevent. I was in the middle of my series.... 
2;318; 84f2e6beea4d5568 playing annie is trying not to win the game either by losing lane and baiting teammates into places where she goes afk.mf, me went 10/0 in lane then end the game losing at 15/6 because of his trolling.This player just threw my already won ranked game on purpose these are the texts he sent after the game was over.84f2e6beea4d5568: i love how this ends up7622b9d42022e4a2: more like you were handed the game by annie84f2e6beea4d5568: mf doesnt deserve to win seriously7622b9d42022e4a2: but ok84f2e6beea4d5568: hahahah84f2e6beea4d5568: mf thought she was the ****84f2e6beea4d5568: leaving team fights84f2e6beea4d5568: YOU DESEVE THIS U ******* ARROGANT *****84f2e6beea4d5568: I AM ****IN LOVING THIS ****84f2e6beea4d5568: I WOULD DO IT 1000 TIMES OVER 
2;364; Quote: c8e0f76fdd290657: In response to the feeding issue. alot of people are doing it on purpose to prove a point that riot does not address (probably because you would have no high ranked players XD). I can only speak for myself, but if a guy is a total @sshole to me, I will feed intentionally. If they can get away with calling me names like *** or say your retarded, then that is so much more serious than feeding, that's harassment, sometimes sexual harassment. you want people to stop feeding, then address your overpopulated Jerk players. Condoning this kind of behavior is borderline criminal and to allow it to continue is worse. Fix it! You're as toxic as anybody I ever met and I hope you are banned permanently. If you can't handle people, don't play team games. It's not hard to mute people that are being ugly, and the report feature is there. One person you don't like is no excuse for you to intentionally ruin 3 other people's game. Banning you is the first fix to banning jerk players. 
2;430; Quote: cfe60035e77b11d5: The bans that have come without warnings and have been permanent or 14 day were all reviewed by a person. You have no idea what you're talking about, which makes it funny to everybody who does. You think it's this big, sad, horrible thing, and honestly everybody is happy you're gone. For the past 8 hours I've had 0 ragers, 0 abusers, 1 AFK (in ascension) and 1 inappropriate language (racism). It's wonderful. It's like Riot is blowing rainbows out of their servers. Stay banned. Better yet, get real mad and say or do something stupid and get perma'd. This is nice! By your comment, you're being a toxic player yourself. You're trying to basically say that everyone on League of Legends hates me while you just met me an hour ago on this post. You're also encouraging someone to break the rules which is very toxic. You do not know me in real life nor in League of Legends. People usually honor me and I'm always warding, putting pings, and helping other people push their lanes. If my teammate makes a mistake, I don't harass him like a Dou***. I go and help him or tell him what to do if I'm busy pushing. When I have my jungler help me, I always thank him, even if we didn't get to kill enemy because he's helping me even though he doesn't have to if he wants. From what I can tell on your comment, is that you're a guy who is always rages and verbally assaults people in games. If anyone should be banned, it should be you. 
2;438;To the people replying to this uber troll, cfe60035e77b11d5, just stop. Don't feed the troll anymore. He obviously has no idea what he's talking about. Since he still believes the bans were reviewed by a person, he obviously didn't even read @8e65b082c4262407's post well enough to know that there are no people managing the tribunal, but instead an automated system algorithm that records data based on match history and player reports. He doesn't seem to understand that there is no actual investigation into the reports or the chat logs of the said match(s) in question. This guy has been trolling this thread for a while now so I believe he just enjoys getting on people nerves when he has no clue what's going on because he doesn't give a sh** about it since he hasn't been banned yet. Which, with his horrible attitude towards others on GD, I'm surprised he hasn't been reported in-game and banned. This kid is just one of those who likes to aggravate people because he thinks he's perfect and has never done anything wrong in LoL but I guarantee you he has probably been more toxic, and talked more sh** to the people in-game in his matches and in the lobby's than most of the people posting right now. He's just a f*cking troll kid who has yet to get banned. But just watch, when he does get banned, and believe me he WILL get banned, he'll come running right back to 8e65b082c4262407 *****ing about how he got banned for nothing, and with no evidence to prove it. But the difference, judging by his attitude on GD, he'll be one of the people that got banned for a good reason.
2;442; Quote: cfe60035e77b11d5: You guys have done nothing but complain and cry. It's a conspiracy, it's unfair, it's BS, it's someone else's fault. I've been banned for bad behavior before, I shut up and did something else 'cuz I knew it was my fault. You guys do the opposite. It's this kind of excuses, bad behavior, and justifying **** that got you to where you are in the first place. No what got a lot of us here are the trolls like you who do nothing but instigate conflicts with people and then report them because they got so fed up with your bullsh*t that they finally went off on you, all the while you keep acting like you're the innocent victim trying to act as though you didn't do anything to instigate such behavior and we're all the toxic ones for telling you off because you're being a rude little troll intentionally trying to get on everyone's nerves. 
2;443;There are 3 reasons why u should just leave cfe60035e77b11d5: 1. Everyone here thinks u shoulda got banned. 2. You should be banned. 3. U are proof that the system is broken because ifanyone here should be perm banned its u.
2;458; Quote: cfe60035e77b11d5: What's really funny is that no matter what, you can't stop underscoring that your behavior isn't your responsibility. Support owes you an explanation of your terrible behavior (that you minimize as bad gamesquot , the ban is b/c of pricks who caused us to have those bad games, your behavior here is b/c of pricks...gee, no matter where you go, you can't seem to get away from people who make you a toxic, abusive person! Don't look in a mirror or anything. Just keep pointing fingers. Stop acting like a hypocrite and look at yourself in the mirror. All you've done in this thread is try to put down players and calling them idiots. You're the very thing you say you despise. I've gotten a 14 day ban when I barely talk and just focus on playing the game and having fun. I usually have wins, but there are toxic players such as yourself, who demoralize the entire team and probably end up going afk/feeding. So if anyone should look in a mirror, it should be you. 
2;459; Quote: 718f11a9feffe17c: Stop acting like a hypocrite and look at yourself in the mirror. All you've done in this thread is try to put down players and calling them idiots. You're the very thing you say you despise. I've gotten a 14 day ban when I barely talk and just focus on playing the game and having fun. I usually have wins, but there are toxic players such as yourself, who demoralize the entire team and probably end up going afk/feeding. So if anyone should look in a mirror, it should be you. Again, you're banned not because of your behavior, you're banned because of toxic players such as me. No, you got banned because you're toxic. Honestly telling you to take responsibility for yourself, stop whining, and stop blaming others isn't calling anyone idiots. If telling you that you have serious problem with your behavior doesn't mean anything from me, take it from Riot. Their 14 day ban is a pretty big hint. But then, if you want to ignore the writing on the wall, you're already well on your way to a permaban. Good luck finding someone else to blame. 
2;460; Quote: cfe60035e77b11d5: Again, you're banned not because of your behavior, you're banned because of toxic players such as me. No, you got banned because you're toxic. Honestly telling you to take responsibility for yourself, stop whining, and stop blaming others isn't calling anyone idiots. If telling you that you have serious problem with your behavior doesn't mean anything from me, take it from Riot. Their 14 day ban is a pretty big hint. But then, if you want to ignore the writing on the wall, you're already well on your way to a permaban. Good luck finding someone else to blame. I've only dealt with toxic players a few times and that was when I was level 20 and below. I'm not blaming anyone. You're the only one who has a serious problem with their behavior since you're straight up insulting everyone who got banned. I never even get toxic players anymore which is why I have so many victories. I can tell you are toxic when you have only 10 friend/helpful honors. 
2;461; Quote: 718f11a9feffe17c: I've only dealt with toxic players a few times and that was when I was level 20 and below. I'm not blaming anyone. You're the only one who has a serious problem with their behavior since you're straight up insulting everyone who got banned. I never even get toxic players anymore which is why I have so many victories. I can tell you are toxic when you have only 10 friend/helpful honors. Thanks mang. I can tell you're toxic because you're banned. 
2;467; Quote: cfe60035e77b11d5: Again, you're banned not because of your behavior, you're banned because of toxic players such as me. No, you got banned because you're toxic. Honestly telling you to take responsibility for yourself, stop whining, and stop blaming others isn't calling anyone idiots. If telling you that you have serious problem with your behavior doesn't mean anything from me, take it from Riot. Their 14 day ban is a pretty big hint. But then, if you want to ignore the writing on the wall, you're already well on your way to a permaban. Good luck finding someone else to blame. Kid, when the f*ck are you just gonna stop, and go away? You are SERIOUSLY the exact type of little SH*T that pisses people off on purpose and then reports them for telling you to f*ck off and stop trolling like a 5 year old. How long are you gonna sit around and intentionally piss people off? How the hell have you not been banned from GD yet? It's the sad garbage like this that gets on peoples nerves. It's because little jerkoffs like you get away with this kind of trash talk to people who didn't do anything to you in the first place. It's this ridiculous, overrated system that lets punks like you get away with this sh*t while the rest of us get punished for telling you to F*CK OFF. 
2;472; Quote: 2262a6ed1491bcf9: Yo 9c683ef293456161 just don't reply to cfe60035e77b11d5. Ur just gonna get angrier. Stop man. Ur just encouraging him. Yeah there really isn't any point. This kid is just here to troll everyone like the child he is. Everyone he's talked sh*t to has pretty much told him to go f*ck himself and quit trolling the thread but he doesn't seem to understand that the more he trolls us, the more he fuels our argument - that it's the players like him that really deserve to be banned the most for intentionally instigating rash behavior from the rest of the players. Players who are just trying to have a few decent matches without some little punks running their mouths off because they have attention issues.This kid has been at it for days. He's been harassing so many people about their posts. But honestly, I hope he keeps it up. Because the more he talks his generic bullsh*t and keeps on trolling the other players' posts and intentionally trying instigate more arguments and harsh retaliation, the more he helps us out by showing Riot how 1-sided and flawed their new system is. Because if they let him get away with acting like this on the forums, how many people are still getting away with it in-game? Because they obviously aren't doing their job thoroughly enough, neither in-game nor elsewhere. 
2;528;i raped her last night Quote: 6e0f2bafb0447126: 0aba20f58e4a5c320aba20f58e4a5c320aba20f58e4a5c32 
2;668; Quote: 6bba0c12fb961f2d: Maybe you need to learn that we are not problem children and do not need counseling. We are perfectly healthy adults. We have the right to express our anger as long as it doesn't cause somebody to commit suicide. edit: What is wrong with saying somebody is bad? In every game I've played since I was 9 until now people have called me bad regardless of whether I was or not. I am majorly competitive and with school and life I don't have the time nor money to play sports to get that sort of thing out. There are people who swear and cuss at their TVs for sports games and people see that as a normal cultural act. Why is getting mad for wanting to win a game and frustrated a bad thing. This guy is a troll like the rest of the LoL community. He's not about solutions. He just wants to be the masterdebater and cause conflict. 
